"","Resource Name","Description","Population Cost","Level Unlocked","XP Given","Complete Time","2D Image","BG Image","Resource_Category","Produced Items","Required Items","Camp Type","","",""
"1","Maple Tree","Yields basic wood.","4","1","15","4.5","Maple_Front","Maple_BG","NA","((Item=MapleLog,Qty=1,Drop Chance=100),(Item=MapleSap,Qty=1,Drop Chance=10),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"2","Birch Tree","Sturdy wood, chance of getting maple sap","5","10","18","4.6","Birch_Front","Birch_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"3","Elven Oak","Wood infused with ancient elven magic","5","20","23","5","Oak_Front","Oak_BG","NA","((Item=ElvenOakLog,Qty=1,Drop Chance=100),(Item=ElvenOakAcorn,Qty=1,Drop Chance=10),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"4","Willow Tree","Yields flexible wood and can provide leaves for crafting","6","30","24","4.5","Willow_Front","Willow_BG","NA","((Item=WillowLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"5","Cherry Blossom Tree","Produces cherry wood, famed for crafting and occasionally blossoms for special bonuses","6","40","34","5.3","Cherry_Blossom_Front","Cherry_Blossom_BG","NA","((Item=CherryBlossomLog,Qty=1,Drop Chance=100),(Item=CherryBlossomPetals,Qty=1,Drop Chance=10),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"6","Mahogany Tree","Provides high quality mahogany wood","6","50","33","6","Mahogany_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"7","Teak Tree","Produces teak wood, known for its durability","9","60","35","6","Teak_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"8","Undying Tree","Produces wood that carries the essence of ancient dragons, prized for its strength and fire resistance","12","70","60","11","Undying_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"9","Eldertree","Ancient tree with bark adorned in glowing runes, offering potent magical properties","15","80","25","4","Elder_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"10","Dreamweaver Elm","A tree of ethereal charm, spins dreams into reality. Its moonlit leaves weave tales and visions, gifting wisdom to those who rest beneath its boughs","12","91","25","5","Dreamweaver_Elm_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"11","Obsidian Fir","Wood as dark as obsidian and almost indestructible","15","95","25","5","Obsidian_Fur","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
"12","Astral Pine","Astral Fir exists both in physical realm and the astral plane. The wood has the ability to enhance powers of magical artifacts","18","98","25","5","Astral_Pine_Tree","Tree_BG","NA","((Item=BirchLog,Qty=1,Drop Chance=100),(Item=N/A,Qty=,Drop Chance=),(Item=N/A,Qty=,Drop Chance=))","((Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0),(Item=N/A,Qty=,Drop Chance=0))","LumberCamp","","",""
